          KEY                                SCORE
 3732695926100961633                  0
 2504578922176275824                  0
-9018605428086186512                  -0.3651310138447728
 2126744149137796273                  -0.36972816319493507
 4647898738534994923                  0
 1793652553050145132                  0
 8833535426150122725                  -0.40226644751341967
-2728624148071630231                  0
-8501460789270829410                  0
 1568037397567953963                  -0.18200591972131144
-6082380390138640311                  0
-8663377664294549470                  0
-4856993326879865809                  -0.34593191548843893
-3470876667725750305                  0
 1350644582276712606                  -0.3303446588600534
 1628199220031117813                  -0.23881347573243866
-2550445358378808983                  0
 9161170873574479774                  0
-7080226254263612441                  0
 -758903607797344082                  0
-4850118886831526183                  0
  722417229112668828                  -0.35889961835506395
 1839643000452371433                  -0.4736840245574552
 5042289236376799821                  0
 7332301591524913256                  0
-4505621566279473841                  -0.2910302829744
-3065899299257337139                  0
-3216200197808911458                  0
-5865169520400507223                  0
 1937183633446695177                  0
-4520559451580750948                  -0.14162168184524188
-2816245437116253533                  -0.40165048486295485
-3560429816002154357                  0
-1273140558459848824                  -0.2135452756018684
  713857385420222455                  0
 8834048172213398245                  0
   -2562453003488426                  -0.34033822621060167
 -780323367884175786                  0
 8588133925638890319                  0
 8629445000819112848                  -0.3409644520926524
 3810577290019530405                  0
 5392669018519487364                  -0.36277724177806797
-2554902995808910793                  -0.16301117192257217
-7714184363849276677                  0
-5152778169265064546                  0
-6145170688317470111                  -0.3802983621206577
-3651105844320310231                  0
-8535843721511413246                  -0.18298113588848344
-4179539551835435471                  -0.239514915197458
 9080695499224716984                  -0.47368421052630216
-2877755586761428423                  0
-6048947001287098832                  0
 5914375456139139491                  -0.31474988478567784
-2505877526006387710                  -0.47368421052631554
 6612935007210568434                  0
 2439823685300235555                  0
 5352709161632197392                  0
-6714381527966213964                  0
-5681067063184745033                  -0.401927790073402
-7591858058892458746                  -0.3138949675372748
 -402989199080101277                  -0.2745141024600336
 6952503150904438434                  -0.47368421052631554
-8504972903659478294                  -0.3175491501628492
 7669273394121684483                  -0.4736787945104497
 1788219165825727983                  0
-4521943700267153038                  -0.2963496984746973
-9064748362782936111                  0
 -353491935247591634                  -0.47368421052631526
 5180780001046986657                  0
-2276126153175429378                  0
 6120112636991350007                  -0.3880392630801238
 7313591653368065548                  -0.4736842105261462
 9020239716820630605                  0
 1895569194071391240                  -0.19809042269271424
-5436553029771232765                  -0.24118516768944384
 4721469114635041134                  0
 3764518933209434079                  0
-6655085627695434832                  0
 7477901738982731475                  -0.3653738485034206
-6836679821877284080                  -0.47368421052631526
-7246210698148381255                  0
 -243689216745610022                  -0.27957969036241725
 8659308236660585403                  -0.4686261153021958
-7800721791302310243                  0
 5955672607047856462                  0
-1511460137382429665                  -0.26327932919956637
-7074527283823607981                  0
 6525543407459520838                  -0.3754103032377698
 3173693838454379353                  -0.24163218666690692
-2394687073621556823                  0
 2137199002793509468                  0
 -203588972612933407                  -0.2854068261848703
-7722901633604464462                  0
-1282932271941217206                  0
 4271793276754478903                  0
 3143514749322191328                  -0.47368421052631554
 3279109415205895582                  0
 4058247789482786345                  0
 1348392115505169228                  0
 6301538176056051187                  0
 4303502161372838129                  0
-4563625487628202206                  -0.31824149902109095
 5249078499564319687                  -0.2576751900398773
-5043544376706104306                  -0.47368421052631554
 4766451108646440072                  0
-9184683538503381583                  -0.27844058529665683
 1703488248827190286                  -0.47368421052631554
-1620408250424052600                  -0.34560134108055146
 3007325629641657566                  0
-1080041398981123049                  0
 2838071922244910793                  0
 2505604175309158480                  0
 1411365202088145173                  0
-5181383348555006736                  -0.4736842105263154
 4487096308336468601                  0
 8089964364042668332                  0
 1126714428749093995                  0
 5694827817383981932                  0
-1060643377777275257                  0
-2091130668390802822                  -0.40748490593871256
-7994887933051248000                  -0.4078170129444596
 7228535791133921767                  -0.2655525413975405
 9199038782862128337                  0
-6279366663607851194                  0
 7116377591059766283                  0
-2752417758333491294                  0
 -191837964573005613                  0
 5063991163724190622                  -0.47368421052631526
-3033968757411679370                  -0.32948783360896367
 4510679910025106245                  -0.3508695366834687
 5137935170812622948                  -0.47368421052630477
 5949922007194519241                  0
-5379385982181010628                  0
-5497304010752125823                  0
 7986821316905910152                  -0.47368421052631093
 6483691139362503216                  0
 6675715565982415715                  -0.3838775121511444
  988578055858873702                  0
-6713074086902925183                  0
-8416578781897684994                  0
-5815567440110958940                  -0.36465858667116924
 5887316892431889104                  0
 1522581228220235663                  0
 3016645736045200831                  0
-7924553943245024470                  -0.4233609941631614
 4295365276111366381                  -0.36523027349270604
-7106982331277423144                  -0.3216702131328528
-1667363855009076213                  -0.4374292657106976
 3980656043316557196                  -0.47368421052630855
 -330975289077228591                  0
-6409179964675550156                  0
-8062148722346235527                  -0.3657338465991257
 2142902392020767726                  -0.265171287669394
 6543491964240116869                  -0.2537526878710628
-8318857421458959839                  0
-7334684621968804412                  0
-6203197496409127147                  0
 -534368213753702290                  -0.4736842105263145
-2763071664074567405                  0
 2042365406863020210                  0
 8543357015806447545                  -0.43569963739533735
 3640936975531460742                  -0.47368421052631493
-3531526662583633839                  0
 3199340513935773976                  0
-6483328626404089553                  -0.3496850206795424
  602079290750304626                  -0.47368421052629506
-1943800448622499753                  0
 5617377592967687114                  -0.3315688971733279
 8328851555377264309                  -0.32745024983691146
  -94588409511719165                  0
-8554638013802667508                  -0.35760491548832485
   32811552736852660                  0
-8566555769984363165                  0
-7102288293483175384                  -0.40450145620694267
 6217210451271066969                  -0.4735807226050128
 3592041345999075658                  -0.4736842105262566
-1832356905203261227                  0
-1231765651566338994                  0
 7688842004888984009                  -0.2220560027441504
-7733201801593836143                  0
-2427168409044664604                  0
-1932130284479340238                  0
-2455223072316975558                  0
-5990448192288099057                  -0.4729947260480855
 6647633227254513634                  0
 2272107439334790911                  -0.20181025594384816
 7774847606571763276                  0
  310699999263436147                  -0.25863934761209845
 6490298402177618732                  -0.47368421052631526
 1299550889930803472                  0
-3843385408791539741                  0
  272386887958123112                  -0.3449904377311203
 6961640392521386263                  -0.1623805358483722
-7940954801667343185                  0
 7207710350450383092                  -0.37863526691832533
 1005859027633205801                  -0.33189563353381885
 5586495563196397896                  -0.34805611635521017
-4576185692885465767                  -0.3711325262861892
 5097047222141748512                  0
-4620435916190959331                  -0.424264492878117
-4468776375984993870                  0
-4109141691631831899                  0
 6259263741043246476                  -0.4736842105263119
 4920089681475555829                  0
-7126058529240021214                  0
-6530223040873682355                  -0.25590883245433393
-2943882062131223441                  0
-5820562832091083654                  -0.31663262503009487
 6829373232450740385                  -0.31237427418570585
-3404084306609487399                  -0.383037209173899
-6874798590919919670                  -0.47368421052631493
-5171996910776169483                  0
-7769207440272793374                  0
-5841569131491823135                  0
 6750508266074887084                  0
 2743326378980561967                  0
-2192906641842362376                  0
-6493985720025662215                  0
 3556340601026557144                  -0.23004633961558169
 -439507362073490844                  0
 5836212439376325107                  0
-8765069398750312635                  0
-8749045865155216751                  0
 -559747770510380012                  0
 1205791319817499097                  -0.3092885951583956
 2754788468570672979                  0
  499543114281166116                  0
-5753517471478488877                  -0.2572516587276826
-1468660666117841502                  0
-1534625458426232312                  0
 6715488584323847423                  0
 5864902430947497974                  0
-3924220930643528241                  -0.2811766032048446
-8773021125181632052                  0
 3842477165754234407                  -0.3620201580320353
 2924896248530016556                  -0.47368421052631327
  305080712757370278                  -0.42018871589463036
 6749917913914309566                  -0.4305897929454497
 2281209817800419743                  0
 6142250234244138356                  -0.27598452571491877
-8748280335858983735                  -0.3506241945688933
 7470937569331324246                  -0.47368421052631376
 8698428906454693204                  0
-1548357652301105789                  0
  370746431695904100                  0
-4934087412250425842                  0
-1966766994360087955                  -0.23273169965959478
-4298192082612132333                  0
-8098848443540168040                  -0.25088807852402
-6143547656751874154                  0
 8715853365100412331                  0
-5651422983186266238                  -0.3906548639342673
